time,open,high,low,close,Plot,regime,direction,h1_adx,m15_adx,choch,fvg,zone,bos,ob,sweep,session,atr,atr_ratio,h1_direction,alert_fired
2025-12-07T23:00:00Z,4198.685,4198.685,4198.685,4198.685,,3,0,14.255557418718556,46.738154691910005,0,0,0,0,0,0,1,,0.7792922291362683,-1,0
2025-12-07T23:35:00Z,4202.06,4202.17,4201.86,4201.925,,3,0,14.255557418718556,47.22739179501913,0,0,0,0,0,0,1,,0.742512797473103,-1,0
2025-12-07T23:40:00Z,4202.69,4202.915,4199.4,4200.14,,3,0,14.255557418718556,46.33642991593189,0,0,0,0,0,0,1,,0.7431790533811845,-1,0
2025-12-07T23:45:00Z,4200.01,4202.585,4198.505,4201.805,,3,0,14.255557418718556,46.33642991593189,0,0,0,0,0,0,1,,0.7431790533811845,-1,0
2025-12-07T23:50:00Z,4201.81,4203.14,4199.68,4201.445,,3,0,14.255557418718556,46.33642991593189,0,0,0,0,0,0,1,,0.7431790533811845,-1,0
2025-12-07T23:55:00Z,4201.465,4202.49,4201.375,4201.52,,3,0,14.576927721868165,45.63578635449568,0,0,0,0,0,0,1,,0.7502780329229585,-1,0
2025-12-08T00:00:00Z,4201.58,4203.345,4199.91,4200.125,,3,0,14.576927721868165,45.63578635449568,0,0,0,0,0,0,2,,0.7502780329229585,-1,0
2025-12-08T00:05:00Z,4200.235,4205.885,4200.235,4205.77,,3,0,14.576927721868165,45.63578635449568,0,0,0,0,0,0,2,,0.7502780329229585,-1,0
2025-12-08T00:10:00Z,4205.765,4208.03,4205.765,4206.11,,3,0,14.576927721868165,43.64055554170866,0,0,0,0,0,0,2,,0.7881232512173125,-1,0
2025-12-08T00:15:00Z,4206.125,4207.195,4203.15,4204.74,,3,0,14.576927721868165,43.64055554170866,0,0,0,0,0,0,2,,0.7881232512173125,-1,0
2025-12-08T00:20:00Z,4204.75,4207.995,4203.6,4207.58,,3,0,14.576927721868165,43.64055554170866,0,0,0,0,0,0,2,,0.7881232512173125,-1,0
2025-12-08T00:25:00Z,4207.525,4207.87,4205.62,4205.99,,3,0,14.576927721868165,41.787841215549285,0,0,0,0,0,0,2,,0.7942426402365645,-1,0
2025-12-08T00:30:00Z,4205.91,4208.21,4204.965,4207.1,,3,0,14.576927721868165,41.787841215549285,0,0,0,0,0,0,2,,0.7942426402365645,-1,0
2025-12-08T00:35:00Z,4207.135,4210.585,4206.71,4209.765,,3,0,14.576927721868165,41.787841215549285,0,0,0,0,0,0,2,3.2089285714285194,0.7942426402365645,-1,0
2025-12-08T00:40:00Z,4209.79,4209.845,4208.22,4209.625,,3,0,14.576927721868165,39.41098385999141,0,0,0,0,0,0,2,3.095790816326482,0.808920541057609,-1,0
2025-12-08T00:45:00Z,4209.605,4210.345,4208.81,4209.855,,3,0,14.576927721868165,39.41098385999141,0,0,0,0,0,0,2,2.9843057580174372,0.808920541057609,-1,0
2025-12-08T00:50:00Z,4209.87,4209.885,4208.46,4209.35,,3,0,14.576927721868165,39.41098385999141,0,0,0,0,0,0,2,2.872926775301919,0.808920541057609,-1,0
2025-12-08T00:55:00Z,4209.33,4211.86,4209.33,4210.76,,3,0,13.98126986925979,36.89580198168833,0,0,0,0,0,0,2,2.848432005637478,0.8027135779691857,-1,0
2025-12-08T01:00:00Z,4210.745,4211.775,4201.22,4204.845,,3,0,13.98126986925979,36.89580198168833,0,0,0,0,0,0,2,3.3989011480918996,0.8027135779691857,-1,0
2025-12-08T01:05:00Z,4204.905,4207.12,4202.21,4203.21,,3,0,13.98126986925979,36.89580198168833,0,0,0,0,0,0,2,3.506836780371039,0.8027135779691857,-1,0
2025-12-08T01:10:00Z,4203.25,4206.615,4203.25,4206.11,,3,0,13.98126986925979,35.89841100869142,0,0,0,0,0,0,2,3.4995627246302328,0.8664354780612784,-1,0
2025-12-08T01:15:00Z,4206.115,4208.46,4204.49,4206.195,,3,0,13.98126986925979,35.89841100869142,0,0,0,0,0,0,2,3.533165387156663,0.8664354780612784,-1,0
2025-12-08T01:20:00Z,4206.08,4210.355,4205.755,4209.45,,3,0,13.98126986925979,35.89841100869142,0,0,1,0,0,0,2,3.609367859502577,0.8664354780612784,-1,0
2025-12-08T01:25:00Z,4209.4,4210.66,4207.535,4208.035,,3,0,13.98126986925979,34.97226224805143,0,0,0,0,0,0,2,3.5747701552523927,0.8841561040163999,-1,0
2025-12-08T01:30:00Z,4208.09,4209.81,4206.335,4208.17,,3,0,13.98126986925979,34.97226224805143,0,0,0,0,0,0,2,3.5676437155915335,0.8841561040163999,-1,0
2025-12-08T01:35:00Z,4208.15,4208.66,4206.505,4207.05,,3,0,13.98126986925979,34.97226224805143,0,0,0,0,0,0,2,3.4667405930492627,0.8841561040163999,-1,0
2025-12-08T01:40:00Z,4207.045,4208.165,4205.235,4206.685,,3,0,13.98126986925979,34.1122669703143,0,0,0,0,0,0,2,3.428401979260051,0.8847027206813652,-1,0
2025-12-08T01:45:00Z,4206.795,4208.29,4200.01,4201.3,,3,0,13.98126986925979,34.1122669703143,0,0,0,0,0,0,2,3.774944695027172,0.8847027206813652,-1,0
2025-12-08T01:50:00Z,4201.36,4202.94,4199,4200.975,,3,0,13.98126986925979,34.1122669703143,0,0,0,0,0,1,2,3.78673435966806,0.8847027206813652,-1,0
2025-12-08T01:55:00Z,4200.98,4202.53,4197.54,4201.25,,3,0,13.628592815494189,34.44817835412153,0,0,0,0,0,1,2,3.87268190540604,0.9480480404972528,-1,0
2025-12-08T02:00:00Z,4201.19,4202.485,4199.695,4200.6,,3,0,13.628592815494189,34.44817835412153,0,0,0,0,0,0,2,3.7953474835913203,0.9480480404972528,-1,0
2025-12-08T02:05:00Z,4200.63,4201.51,4198.72,4199.83,,3,0,13.628592815494189,34.44817835412153,0,0,0,0,0,0,2,3.7235369490490804,0.9480480404972528,-1,0
2025-12-08T02:10:00Z,4199.805,4201.55,4198.79,4200.33,,3,0,13.628592815494189,34.76009606765681,0,0,0,0,0,0,2,3.6547128812598757,0.9354307740323564,-1,0
2025-12-08T02:15:00Z,4200.27,4202.49,4199.01,4201.905,,3,0,13.628592815494189,34.76009606765681,0,0,0,0,0,0,2,3.642233389741282,0.9354307740323564,-1,0
2025-12-08T02:20:00Z,4201.86,4202.42,4199.95,4200.89,,3,0,13.628592815494189,34.76009606765681,0,0,0,0,0,0,2,3.5585024333312085,0.9354307740323564,-1,0
2025-12-08T02:25:00Z,4200.8,4203.685,4200.635,4203.475,,3,0,13.628592815494189,34.6934392050347,0,1,0,0,0,0,2,3.522180830950421,0.9333166229442312,-1,0
2025-12-08T02:30:00Z,4203.34,4204.99,4199.445,4202.075,,3,0,13.628592815494189,34.6934392050347,0,0,0,0,0,1,2,3.6666679144539676,0.9333166229442312,-1,0
2025-12-08T02:35:00Z,4201.93,4208,4201.245,4206.66,,3,0,13.628592815494189,34.6934392050347,0,0,0,0,0,0,2,3.8872630634215493,0.9333166229442312,-1,0
2025-12-08T02:40:00Z,4206.685,4208.975,4204.895,4206.64,,3,0,13.628592815494189,33.23848393942363,0,0,0,0,0,1,2,3.901029987462862,0.9819059414278292,-1,0
2025-12-08T02:45:00Z,4206.73,4209.91,4206.605,4209.68,,3,0,13.628592815494189,33.23848393942363,0,0,1,0,0,0,2,3.858456416929821,0.9819059414278292,-1,0
2025-12-08T02:50:00Z,4209.705,4211.895,4208.51,4211.365,,3,0,13.628592815494189,33.23848393942363,0,0,1,0,0,0,2,3.8246381014348496,0.9819059414278292,-1,0
2025-12-08T02:55:00Z,4211.42,4212.635,4207.585,4208.515,,3,0,13.211068350434434,31.08760953356592,0,0,0,0,0,0,2,3.9121639513323734,0.9888888385431953,-1,0
2025-12-08T03:00:00Z,4208.51,4209.28,4207.21,4208.385,,3,0,13.211068350434434,31.08760953356592,0,0,0,0,0,0,2,3.780580811951469,0.9888888385431953,-1,0
2025-12-08T03:05:00Z,4208.495,4209.54,4206.86,4209.41,,3,0,13.211068350434434,31.08760953356592,0,0,1,0,0,0,2,3.701967896812099,0.9888888385431953,-1,0
2025-12-08T03:10:00Z,4209.395,4210.28,4208.48,4210.12,,3,0,13.211068350434434,29.090369013840903,0,0,1,0,0,0,2,3.5661130470398192,0.9660916826171299,-1,0
2025-12-08T03:15:00Z,4210.1,4213.305,4210.09,4212.835,,3,0,13.211068350434434,29.090369013840903,0,0,0,0,0,0,2,3.5410335436798426,0.9660916826171299,-1,0
2025-12-08T03:20:00Z,4212.84,4212.91,4210.225,4210.6,,3,0,13.211068350434434,29.090369013840903,0,0,0,0,0,0,2,3.4798882905598174,0.9660916826171299,-1,0
2025-12-08T03:25:00Z,4210.53,4211.11,4207.98,4210.075,,3,0,13.211068350434434,27.421416641110138,0,0,0,0,0,0,2,3.4548962698055523,0.9646510084713538,-1,0
2025-12-08T03:30:00Z,4210.14,4211.965,4209.385,4210.625,,3,0,13.211068350434434,27.421416641110138,0,0,0,0,0,0,2,3.3924036791051506,0.9646510084713538,-1,0
2025-12-08T03:35:00Z,4210.69,4211.15,4207.245,4208.61,,3,0,13.211068350434434,27.421416641110138,0,0,0,0,0,0,2,3.429017702026193,0.9646510084713538,-1,0
2025-12-08T03:40:00Z,4208.585,4208.885,4207.685,4207.985,,3,0,13.211068350434434,25.705797648585076,0,0,0,0,0,0,2,3.269802151881452,0.9584532110461618,-1,0
2025-12-08T03:45:00Z,4208.03,4209.065,4207.475,4208.28,,3,0,13.211068350434434,25.705797648585076,0,0,0,0,0,0,2,3.1498162838898653,0.9584532110461618,-1,0
2025-12-08T03:50:00Z,4208.275,4209.86,4206.94,4209.74,,3,0,13.211068350434434,25.705797648585076,0,0,0,0,0,0,2,3.1334008350405944,0.9584532110461618,-1,0
2025-12-08T03:55:00Z,4209.815,4210.63,4209.035,4210.24,,3,0,12.749415318598164,24.040927460654007,0,0,0,0,0,0,2,3.0235150611091415,0.9405641482748363,-1,0
2025-12-08T04:00:00Z,4210.215,4210.48,4208.765,4209.375,,3,0,12.749415318598164,24.040927460654007,0,0,0,0,0,0,2,2.930049699601291,0.9405641482748363,-1,0
2025-12-08T04:05:00Z,4209.44,4210.465,4209.115,4210.08,,3,0,12.749415318598164,24.040927460654007,0,0,0,0,0,0,2,2.8171890067726535,0.9405641482748363,-1,0
2025-12-08T04:10:00Z,4209.98,4210.555,4209.27,4209.685,,3,0,12.749415318598164,22.49497657186087,0,0,0,0,0,0,2,2.7077469348603107,0.9033806566706617,-1,0
2025-12-08T04:15:00Z,4209.63,4212.255,4209.53,4209.735,,3,0,12.749415318598164,22.49497657186087,0,0,0,0,0,1,2,2.708979296656029,0.9033806566706617,-1,0
2025-12-08T04:20:00Z,4209.67,4210.81,4209.1,4210.265,,3,0,12.749415318598164,22.49497657186087,0,0,0,0,0,0,2,2.637623632609172,0.9033806566706617,-1,0
2025-12-08T04:25:00Z,4210.175,4210.505,4209,4209.675,,3,0,12.749415318598164,21.471621389212903,0,0,0,0,0,0,2,2.5567219445656675,0.8837129739605417,-1,0
2025-12-08T04:30:00Z,4209.775,4213.415,4209.6,4212.81,,3,0,12.749415318598164,21.471621389212903,0,0,0,0,0,0,2,2.646598948525234,0.8837129739605417,-1,0
2025-12-08T04:35:00Z,4212.8,4212.945,4210.745,4211.02,,3,0,12.749415318598164,21.471621389212903,0,0,0,0,0,0,2,2.6146990236305614,0.8837129739605417,-1,0
2025-12-08T04:40:00Z,4210.965,4211.845,4209.99,4210.705,,3,0,12.749415318598164,20.794471303447008,0,0,0,0,0,0,2,2.5604348076569834,0.8720175259505865,-1,0
2025-12-08T04:45:00Z,4210.65,4211.045,4209.765,4210.62,,3,0,12.749415318598164,20.794471303447008,0,0,0,0,0,0,2,2.468975178538609,0.8720175259505865,-1,0
2025-12-08T04:50:00Z,4210.63,4210.63,4209.02,4209.07,,3,0,12.749415318598164,20.794471303447008,0,0,0,0,0,0,2,2.4076198086429708,0.8720175259505865,-1,0
2025-12-08T04:55:00Z,4209.02,4209.545,4207.045,4208.67,,3,0,12.307809775806808,19.446670220857822,0,0,0,0,0,0,2,2.414218393739901,0.8635312879114619,-1,0
2025-12-08T05:00:00Z,4208.625,4209.485,4207.93,4207.98,,3,0,12.307809775806808,19.446670220857822,0,0,0,0,0,0,2,2.352845651329864,0.8635312879114619,-1,0
2025-12-08T05:05:00Z,4208.06,4209.305,4207.74,4208.255,,3,0,12.307809775806808,19.446670220857822,0,0,0,0,0,0,2,2.2965709619491963,0.8635312879114619,-1,0
2025-12-08T05:10:00Z,4208.285,4209.085,4208.065,4209.06,,3,0,12.307809775806808,18.19514064416786,0,0,0,0,0,0,2,2.205387321809999,0.8316218611471885,-1,0
2025-12-08T05:15:00Z,4209.11,4209.175,4205.57,4205.95,,3,0,12.307809775806808,18.19514064416786,0,0,0,0,0,0,2,2.3053596559664618,0.8316218611471885,-1,0
2025-12-08T05:20:00Z,4205.945,4209.395,4204.77,4206.765,,3,0,12.307809775806808,18.19514064416786,0,0,0,0,0,1,2,2.4710482519688575,0.8316218611471885,-1,0
2025-12-08T05:25:00Z,4206.85,4208.2,4206.465,4206.57,,3,0,12.307809775806808,17.544830250438633,0,0,0,0,0,0,2,2.4184733768282016,0.8365752915242507,-1,0
2025-12-08T05:30:00Z,4206.63,4215.455,4206.485,4214.09,,3,0,12.307809775806808,17.544830250438633,0,0,0,0,0,0,2,2.886439564197634,0.8365752915242507,-1,0
2025-12-08T05:35:00Z,4214.21,4216.07,4213.645,4214.05,,3,0,12.307809775806808,17.544830250438633,0,0,0,0,0,1,2,2.8534795953263226,0.8365752915242507,-1,0
2025-12-08T05:40:00Z,4214.125,4215.54,4213.025,4215.01,,3,0,12.307809775806808,17.258001320753632,0,0,0,0,0,0,2,2.829302481374466,0.9001139011056344,-1,0
2025-12-08T05:45:00Z,4215.06,4215.335,4212.905,4214.035,,3,0,12.307809775806808,17.258001320753632,0,0,0,0,0,0,2,2.800780875562025,0.9001139011056344,-1,0
2025-12-08T05:50:00Z,4213.885,4216.645,4212.765,4216.12,,3,0,12.307809775806808,17.258001320753632,0,0,0,0,0,0,2,2.8778679558790308,0.9001139011056344,-1,0
2025-12-08T05:55:00Z,4216.11,4217.365,4215.085,4217.3,,3,0,11.42937228053441,17.24812690110928,0,0,0,0,0,0,2,2.835163101887653,0.8976621641254521,1,0
2025-12-08T06:00:00Z,4217.295,4218.75,4216.435,4217.38,,3,0,11.42937228053441,17.24812690110928,0,0,0,0,0,0,1,2.798008594609935,0.8976621641254521,1,0
2025-12-08T06:05:00Z,4217.325,4217.74,4212.18,4214.365,,3,0,11.42937228053441,17.24812690110928,0,0,0,0,0,0,1,2.995293694994903,0.8976621641254521,1,0
2025-12-08T06:10:00Z,4214.33,4216.455,4213.245,4215.53,,3,0,11.42937228053441,17.509159850166718,0,0,0,0,0,0,1,3.0106298596381267,0.9221088613192854,1,0
2025-12-08T06:15:00Z,4215.535,4217.91,4214.505,4214.91,,3,0,11.42937228053441,17.509159850166718,0,0,0,0,0,0,1,3.0387991553782423,0.9221088613192854,1,0
2025-12-08T06:20:00Z,4214.945,4218.28,4213.88,4216.235,,3,0,11.42937228053441,17.509159850166718,0,0,0,0,0,0,1,3.1360277871369133,0.9221088613192854,1,0
2025-12-08T06:25:00Z,4216.3,4217.62,4215.905,4216.565,,3,0,11.42937228053441,17.751547588577196,0,0,0,0,0,0,1,3.03452580234143,0.9189636387970054,1,0
2025-12-08T06:30:00Z,4216.495,4219.175,4216.195,4218.595,,3,0,11.42937228053441,17.751547588577196,0,0,0,0,0,0,1,3.030631102174219,0.9189636387970054,1,0
2025-12-08T06:35:00Z,4218.645,4218.75,4215.52,4218.065,,3,0,11.42937228053441,17.751547588577196,0,0,0,0,0,0,1,3.044871737733172,0.9189636387970054,1,0
2025-12-08T06:40:00Z,4218.085,4218.27,4215.205,4217.175,,3,0,11.42937228053441,18.16349006931782,0,0,0,0,0,0,1,3.0463094707522673,0.9108978853261721,1,0
2025-12-08T06:45:00Z,4217.195,4217.815,4216.195,4216.725,,3,0,11.42937228053441,18.16349006931782,0,0,0,0,0,0,1,2.9444302228413832,0.9108978853261721,1,0
2025-12-08T06:50:00Z,4216.705,4217.49,4215.335,4216.64,,3,0,11.42937228053441,18.16349006931782,0,0,0,0,0,0,1,2.888042349781266,0.9108978853261721,1,0
2025-12-08T06:55:00Z,4216.735,4218.255,4216.535,4217.185,,3,0,10.822814541400556,18.546008087148405,0,0,0,0,0,0,1,2.804610753368337,0.8943480527774539,1,0
2025-12-08T07:00:00Z,4217.19,4217.61,4214.745,4215.785,,3,0,10.822814541400556,18.546008087148405,0,0,0,0,0,0,1,2.8089242709848685,0.8943480527774539,1,0
2025-12-08T07:05:00Z,4215.75,4216.28,4212.67,4215.985,,3,0,10.822814541400556,18.546008087148405,0,0,0,0,0,1,1,2.8661439659144974,0.8943480527774539,1,0
2025-12-08T07:10:00Z,4215.905,4216.65,4214.41,4214.71,,3,0,10.822814541400556,17.996766591069285,0,0,0,0,0,0,1,2.821419396920589,0.9041377430131738,1,0
2025-12-08T07:15:00Z,4214.65,4215.04,4212.945,4215.04,,3,0,10.822814541400556,17.996766591069285,0,0,0,0,0,0,1,2.769532297140565,0.9041377430131738,1,0
2025-12-08T07:20:00Z,4214.98,4215.605,4213.66,4214.835,,3,0,10.822814541400556,17.996766591069285,0,0,0,0,0,0,1,2.7106371330590755,0.9041377430131738,1,0
2025-12-08T07:25:00Z,4214.78,4216.325,4213.325,4213.93,,3,0,10.822814541400556,17.486756630424388,0,0,0,0,0,0,1,2.7313059092691416,0.8937242064898037,1,0
2025-12-08T07:30:00Z,4213.945,4216.325,4213.175,4216.115,,3,0,10.822814541400556,17.486756630424388,0,0,0,0,0,0,1,2.7612126300356055,0.8937242064898037,1,0
2025-12-08T07:35:00Z,4216.045,4216.28,4211.76,4212,,3,0,10.822814541400556,17.486756630424388,0,1,0,0,0,0,1,2.8868402993187425,0.8937242064898037,1,0
2025-12-08T07:40:00Z,4211.99,4213.215,4209.94,4209.955,,3,0,10.822814541400556,16.398256930968255,0,0,0,0,0,0,1,2.9145659922245857,0.9256574907230825,1,0
2025-12-08T07:45:00Z,4209.835,4210.98,4207.57,4208.735,,3,0,10.822814541400556,16.398256930968255,0,0,0,0,0,0,1,2.9499541356371046,0.9256574907230825,1,0
2025-12-08T07:50:00Z,4208.645,4209.475,4206.31,4208.815,,3,0,10.822814541400556,16.398256930968255,0,0,0,0,0,1,1,2.965314554520166,0.9256574907230825,1,0
2025-12-08T07:55:00Z,4208.855,4209.325,4206.55,4206.83,,3,0,10.5260802521325,16.318137774574854,0,0,1,0,0,0,1,2.9517206577686994,0.9338269698949652,-1,0
2025-12-08T08:00:00Z,4206.815,4210.695,4203.175,4210.66,,3,0,10.5260802521325,16.318137774574854,0,0,0,0,0,1,4,3.2780263250709014,0.9338269698949652,-1,0
2025-12-08T08:05:00Z,4210.685,4212.475,4209.73,4211.68,,3,0,10.5260802521325,16.318137774574854,0,0,0,0,0,0,4,3.239953016137323,0.9338269698949652,-1,0
2025-12-08T08:10:00Z,4211.665,4212.955,4210.215,4211.66,,3,0,10.5260802521325,16.91118933166665,0,0,0,0,0,0,4,3.204242086413213,1.0069664333911648,-1,0
2025-12-08T08:15:00Z,4211.625,4212.49,4210.48,4212.24,,3,0,10.5260802521325,16.91118933166665,0,0,0,0,0,0,4,3.1189390802408563,1.0069664333911648,-1,0
2025-12-08T08:20:00Z,4212.205,4216.695,4212.155,4214.01,,3,0,10.5260802521325,16.91118933166665,0,0,0,0,0,0,4,3.220443431652221,1.0069664333911648,-1,0
2025-12-08T08:25:00Z,4214.13,4214.13,4209.43,4209.44,,3,0,10.5260802521325,16.357108307688712,0,0,0,0,0,0,4,3.3261260436770494,1.040134366465424,-1,0
